MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error
304204000,2020-01-01 00:00:07,29.44467,-94.84064,12.1,155.4,156.0,0.0,,0.0,0.0,,0.0,29.44467,-94.84064,0.0
304679000,2020-01-01 00:00:07,28.906,-94.84,12.8,236.3,235.0,0.0,,0.0,0.0,,0.0,28.906,-94.84,0.0
304846000,2020-01-01 00:00:09,23.4125,-84.995,11.2,84.0,77.0,0.0,,0.0,0.0,,0.0,23.4125,-84.995,0.0
304941000,2020-01-01 00:00:00,18.27286,-64.96501,15.6,86.6,90.0,0.0,,0.0,0.0,,0.0,18.27286,-64.96501,0.0
305034000,2020-01-01 00:00:01,34.89717,-129.59178,13.9,92.5,91.0,0.0,,0.0,0.0,,0.0,34.89717,-129.59178,0.0
305034000,2020-01-01 00:01:07,34.89698,-129.58657,14.0,92.5,90.0,7.20638384128943,0.10918763395893076,-1.0,3.603191920644715,0.10918763395893076,-0.5,34.89698,-129.58657,0.0
305097000,2020-01-01 00:00:05,30.13303,-91.00915,0.1,311.0,59.0,0.0,,0.0,0.0,,0.0,30.13303,-91.00915,0.0
305113000,2020-01-01 00:00:21,47.57556,-122.36125,0.0,92.3,0.0,0.0,,0.0,0.0,,0.0,47.57556,-122.36125,0.0
305179000,2020-01-01 00:01:06,28.877,-95.14745,0.1,149.7,79.0,0.0,,0.0,0.0,,0.0,28.877,-95.14745,0.0
305718000,2020-01-01 00:00:14,28.86914,-94.4287,14.1,179.1,179.0,0.0,,0.0,0.0,,0.0,28.86914,-94.4287,0.0
305907000,2020-01-01 00:00:07,30.0432,-90.60043,15.0,48.2,56.0,0.0,,0.0,0.0,,0.0,30.0432,-90.60043,0.0
306258000,2020-01-01 00:00:03,47.66628,-122.39355,0.0,45.0,176.0,0.0,,0.0,0.0,,0.0,47.66628,-122.39355,0.0
308371000,2020-01-01 00:00:09,32.10587,-119.50715,1.0,113.0,52.0,0.0,,0.0,0.0,,0.0,32.10587,-119.50715,0.0
308457000,2020-01-01 00:00:10,26.14012,-78.22665,21.7,277.1,280.0,0.0,,0.0,0.0,,0.0,26.14012,-78.22665,0.0
308814000,2020-01-01 00:00:21,18.43271,-64.75694,0.2,211.3,89.0,0.0,,0.0,0.0,,0.0,18.43271,-64.75694,0.0
309286000,2020-01-01 00:00:36,33.73285,-118.22002,0.1,111.0,225.0,0.0,,0.0,0.0,,0.0,33.73285,-118.22002,0.0
309518000,2020-01-01 00:00:09,29.61661,-93.31352,11.7,140.9,141.0,0.0,,0.0,0.0,,0.0,29.61661,-93.31352,0.0
309951000,2020-01-01 00:00:05,18.1103,-64.85885,20.2,251.8,251.0,0.0,,0.0,0.0,,0.0,18.1103,-64.85885,0.0
309955000,2020-01-01 00:00:00,35.87279,-122.45307,9.9,152.3,152.0,0.0,,0.0,0.0,,0.0,35.87279,-122.45307,0.0
309996000,2020-01-01 00:00:16,60.11826,-149.42515,0.0,249.4,350.0,0.0,,0.0,0.0,,0.0,60.11826,-149.42515,0.0
310627000,2020-01-01 00:01:01,19.97215,-65.86561,24.4,189.4,188.0,0.0,,0.0,0.0,,0.0,19.97215,-65.86561,0.0
311000111,2020-01-01 00:00:48,33.70667,-118.14233,0.1,150.0,225.0,0.0,,0.0,0.0,,0.0,33.70667,-118.14233,0.0
311000112,2020-01-01 00:00:06,35.15389,-121.705,12.1,149.7,148.0,0.0,,0.0,0.0,,0.0,35.15389,-121.705,0.0
